~id,~from,~to,~label
1_1967,a_1,y_1967,hasYear
1_athe_beatles,a_1,a_the_beatles,hasArtist
1_grock,a_1,g_rock,hasGenre
1_srock___roll,a_1,s_rock___roll,hasSubgenre
1_spsychedelic_rock,a_1,s_psychedelic_rock,hasSubgenre
2_1966,a_2,y_1966,hasYear
2_athe_beach_boys,a_2,a_the_beach_boys,hasArtist
2_grock,a_2,g_rock,hasGenre
2_spop_rock,a_2,s_pop_rock,hasSubgenre
2_spsychedelic_rock,a_2,s_psychedelic_rock,hasSubgenre
3_1966,a_3,y_1966,hasYear
3_athe_beatles,a_3,a_the_beatles,hasArtist
3_grock,a_3,g_rock,hasGenre
3_spsychedelic_rock,a_3,s_psychedelic_rock,hasSubgenre
3_spop_rock,a_3,s_pop_rock,hasSubgenre
4_1965,a_4,y_1965,hasYear
4_abob_dylan,a_4,a_bob_dylan,hasArtist
4_grock,a_4,g_rock,hasGenre
4_sfolk_rock,a_4,s_folk_rock,hasSubgenre
4_sblues_rock,a_4,s_blues_rock,hasSubgenre
5_1965,a_5,y_1965,hasYear
5_athe_beatles,a_5,a_the_beatles,hasArtist
5_grock,a_5,g_rock,hasGenre
5_gpop,a_5,g_pop,hasGenre
5_spop_rock,a_5,s_pop_rock,hasSubgenre
6_1971,a_6,y_1971,hasYear
6_amarvin_gaye,a_6,a_marvin_gaye,hasArtist
6_gfunk___soul,a_6,g_funk___soul,hasGenre
6_ssoul,a_6,s_soul,hasSubgenre
7_1972,a_7,y_1972,hasYear
7_athe_rolling_stones,a_7,a_the_rolling_stones,hasArtist
7_grock,a_7,g_rock,hasGenre
7_sblues_rock,a_7,s_blues_rock,hasSubgenre
7_srock___roll,a_7,s_rock___roll,hasSubgenre
7_sclassic_rock,a_7,s_classic_rock,hasSubgenre
8_1979,a_8,y_1979,hasYear
8_athe_clash,a_8,a_the_clash,hasArtist
8_grock,a_8,g_rock,hasGenre
8_spunk,a_8,s_punk,hasSubgenre
8_snew_wave,a_8,s_new_wave,hasSubgenre
9_1966,a_9,y_1966,hasYear
9_abob_dylan,a_9,a_bob_dylan,hasArtist
9_grock,a_9,g_rock,hasGenre
9_gblues,a_9,g_blues,hasGenre
9_sfolk_rock,a_9,s_folk_rock,hasSubgenre
9_srhythm___blues,a_9,s_rhythm___blues,hasSubgenre
10_1968,a_10,y_1968,hasYear
10_athe_beatles,a_10,a_the_beatles,hasArtist
10_grock,a_10,g_rock,hasGenre
10_srock___roll,a_10,s_rock___roll,hasSubgenre
10_spop_rock,a_10,s_pop_rock,hasSubgenre
