~id,~label,name
y_1967,year,1967
y_1966,year,1966
y_1965,year,1965
y_1971,year,1971
y_1972,year,1972
y_1979,year,1979
y_1968,year,1968
y_1976,year,1976
y_1959,year,1959
y_1969,year,1969
y_1975,year,1975
y_1991,year,1991
y_1982,year,1982
y_1990,year,1990
y_1970,year,1970
y_1973,year,1973
y_1963,year,1963
y_1977,year,1977
y_1987,year,1987
y_2001,year,2001
y_1984,year,1984
y_1988,year,1988
y_1957,year,1957
y_1964,year,1964
y_1956,year,1956
y_2000,year,2000
y_1986,year,1986
y_1980,year,1980
y_1978,year,1978
y_1955,year,1955
y_1962,year,1962
y_2003,year,2003
y_1995,year,1995
y_1974,year,1974
y_2005,year,2005
y_1960,year,1960
y_1994,year,1994
y_1992,year,1992
y_1985,year,1985
y_2004,year,2004
y_1958,year,1958
y_1989,year,1989
y_1997,year,1997
y_2002,year,2002
y_1998,year,1998
y_1983,year,1983
y_2006,year,2006
y_1981,year,1981
y_1961,year,1961
y_1999,year,1999
y_1993,year,1993
y_1996,year,1996
y_2007,year,2007
y_2010,year,2010
y_2011,year,2011
y_2008,year,2008
